127.0.0.1 - - [08/Dec/2019:01:25:57 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/medicine/medicine.jsp HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/img/icon.png HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/img/pill.png HTTP/1.1" 200 217800
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/img/easy.PNG HTTP/1.1" 200 59936
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/img/tylenol.PNG HTTP/1.1" 200 54699
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/img/tenten.png HTTP/1.1" 200 25930
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:25:58 +0900] "GET /community/view/img/hoosi.PNG HTTP/1.1" 200 55263
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:06 +0900] "GET /community/view/medicine/medicine.jsp HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:06 +0900] "GET /community/view/img/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:08 +0900] "POST /community/view/medicine/deliverForm.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:08 +0900] "GET /community/view/medicine/deliverForm.jsp?pname=1 HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:08 +0900] "GET /community/view/medicine/null HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:57 +0900] "GET /community/view/medicine/medicine.jsp HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:59 +0900] "POST /community/view/medicine/deliverForm.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:26:59 +0900] "GET /community/view/medicine/null HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:27:49 +0900] "POST /community/view/medicine/deliverForm.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:27:49 +0900] "GET /community/view/medicine/null HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:27:51 +0900] "GET /community/view/medicine/medicine.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:27:53 +0900] "POST /community/view/medicine/deliverForm.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:27:53 +0900] "GET /community/view/medicine/null HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:28:14 +0900] "GET /community/view/medicine/medicine.jsp HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:28:15 +0900] "POST /community/view/medicine/deliverForm.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:28:15 +0900] "GET /community/view/medicine/deliverForm.jsp?pname=1 HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:28:15 +0900] "GET /community/view/medicine/null HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:29:28 +0900] "GET /community/view/medicine/medicine.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:29:29 +0900] "POST /community/view/medicine/deliverForm.jsp HTTP/1.1" 200 3670
0:0:0:0:0:0:0:1 - - [08/Dec/2019:01:29:29 +0900] "GET /community/view/medicine/null HTTP/1.1" 404 1064
